,Plan,Fund_Name,p.a Return,Expense Ratio,Current Val
226,EQUITY,Invesco India Largecap Fund,11.85,0.81,8.07
227,DEBT,Invesco India Gilt Fund,5.14%,0.48,6.83
228,DEBT,DSP Savings Fund,5.25%,0.25,6.85
229,HYBRID,DSP Equity & Bond Fund,11.22,0.78,7.95
230,DEBT,HDFC Overnight Fund,4.35%, 0.1,6.7 
231,EQUITY,Aditya Birla Sun Life Small Cap Fund,12.60,1.04,8.22
232,DEBT,DSP Liquidity Fund,4.82%,0.15,6.78
233,HYBRID,Aditya Birla Sun Life Equity Hybrid '95 Fund,9.09%,1.01,7.54
234,DEBT,PGIM India Low Duration Fund,3.38%,0.35,6.54
235,EQUITY,Motilal Oswal Flexi Cap Fund,5.11%,0.96,6.82
236,EQUITY,Franklin India Prima Fund,13.15,1.06,8.34
237,EQUITY,HSBC ELSS Fund,10.70,1.16,7.85
238,EQUITY,Invesco India Growth Opportunities Fund,11.67,0.66,8.04
239,EQUITY,UTI Long Term Equity Fund,12.26,0.95,8.16
240,EQUITY,DSP Midcap Fund,10.68,0.77,7.84
241,EQUITY,Baroda BNP Paribas ELSS Fund,10.99,1.12,7.9 
242,HYBRID,Motilal Oswal Equity Hybrid Fund,.A.,0.91,.A.
243,DEBT,Parag Parikh Liquid Fund,.A.,0.17,.A.
244,EQUITY,Aditya Birla Sun Life Tax Relief 96 Fund,5.67%,0.93,6.92
245,HYBRID,Axis Equity Hybrid Fund,.A.,0.89,.A.
246,EQUITY,Axis Long Term Equity Fund,7.26%,0.85,7.2 
247,DEBT,Motilal Oswal Nifty G-sec May 2029 Index Fund,.A.,tio ,.A.
248,EQUITY,SBI Equity Minimum Variance Fund,.A.,0.41,.A.
249,EQUITY,HDFC Index S&P BSE Sensex Fund,12.95, 0.2,8.3 
250,EQUITY,Invesco India - Invesco Global Equity Income FoF,12.77,0.73,8.26
251,EQUITY,Sundaram Services Fund,.A.,0.89,.A.
252,COMMODITIES,Invesco India Gold Fund,13.04,0.16,8.31
253,EQUITY,DSP Nifty 50 Index Fund,.A.,0.24,.A.
254,EQUITY,ICICI Prudential Dividend Yield Equity Fund,19.44,0.65,9.73
255,EQUITY,Tata India Pharma & HealthCare Fund,13.74,1.01,8.46
256,EQUITY,SBI Technology Opportunities Fund,21.13,0.87,10.1
257,EQUITY,Tata Banking and Financial Services Fund,12.93,0.59,8.29
258,EQUITY,Quantum India ESG Equity Fund,.A.,0.93,.A.
259,EQUITY,ICICI Prudential India Opportunities Fund,.A.,0.69,.A.
260,EQUITY,Sundaram Dividend Yield Fund,13.87,1.02,8.49
261,COMMODITIES,Quantum Gold Savings Fund,12.88,0.06,8.28
262,EQUITY,DSP T.I.G.E.R. Fund,19.60,1.34,9.76
263,EQUITY,SBI Banking & Financial Services Fund,11.11,0.78,7.93
264,EQUITY,Sundaram Global Brand Fund,10.46,1.42,7.79
265,EQUITY,Edelweiss US Value Equity Offshore Fund,12.58,1.43,8.22
266,EQUITY,DSP Global Allocation Fund,7.22%,1.43,7.2 
267,EQUITY,HDFC Housing Opportunities Fund,12.68,1.28,8.24
268,EQUITY,Aditya Birla Sun Life Global Emerging Opportunities Fund,8.41%, 0.7,7.41
269,EQUITY,ICICI Prudential Banking and Financial Services Fund,11.45,1.09,8 La
270,EQUITY,Aditya Birla Sun Life Banking & Financial Services Fund,11.02,1.17,7.91
271,HYBRID,Aditya Birla Sun Life Financial Planning FOF Moderate Plan,10.25,0.36,7.76
272,EQUITY,Nippon India Japan Equity Fund,4.49%,0.94,6.72
273,EQUITY,Bandhan Infrastructure Fund,18.26,1.15,9.45
274,EQUITY,Tata Nifty 50 Index Fund,12.51,0.16,8.21
275,EQUITY,SBI Magnum COMMA Fund,14.26,2.03,8.57
